neighbourhood_cleansed,property_type,room_type,bed_type,price,cancellation_policy,host_response_rate_binned,predicted_quality
8,0,0,0,100.0,0,0,1
25,0,0,0,159.0,0,0,0
14,0,0,0,110.0,0,3,0
4,0,0,0,59.0,0,0,1
25,0,0,0,100.0,0,0,0
21,1,1,0,35.0,0,0,1
14,0,0,1,58.0,0,0,0
14,0,1,0,35.0,0,1,1
15,0,0,0,140.0,1,0,1
26,0,0,0,88.0,0,1,0
15,0,0,0,110.0,0,3,0
14,0,0,0,75.0,1,0,1
4,0,0,0,120.0,0,0,1
21,0,1,0,50.0,0,0,1
25,0,0,0,60.0,0,1,0
27,0,1,0,30.0,0,0,1
27,0,0,0,100.0,0,0,0
26,1,1,0,47.0,0,0,1
25,0,0,0,190.0,0,1,0
26,0,0,0,125.0,0,0,0
23,0,0,0,79.0,0,1,0
20,9,0,0,200.0,1,0,1
25,0,0,0,200.0,2,1,1
29,0,0,0,150.0,0,0,0
25,0,0,0,150.0,0,0,0
20,0,0,0,135.0,0,0,0
22,0,0,0,171.0,0,0,0
25,0,0,0,170.0,0,0,0
21,1,0,0,188.0,0,1,0
25,0,0,0,100.0,1,0,1
14,1,1,0,35.0,0,3,0
21,0,1,0,23.0,0,0,1
25,0,0,0,74.0,0,0,0
26,0,0,0,149.0,0,0,0
23,0,0,0,250.0,0,0,1
16,0,0,0,120.0,0,0,0
27,0,1,0,39.0,0,0,1
25,0,0,0,100.0,0,0,0
31,1,1,0,19.0,1,0,1
23,0,0,0,110.0,0,0,0
23,0,0,0,220.0,0,1,0
28,1,0,0,120.0,0,0,0
28,0,0,0,140.0,0,1,0
28,0,0,0,80.0,0,0,0
11,1,1,0,43.0,2,0,1
6,1,1,0,30.0,0,3,0
26,3,1,0,55.0,0,0,1
31,1,0,0,149.0,0,1,0
25,0,0,0,69.0,2,0,1
25,0,0,0,219.0,2,3,0
25,0,0,0,143.0,0,0,0
25,0,0,0,120.0,0,0,0
14,0,1,0,44.0,0,0,1
29,0,0,0,95.0,1,1,0
15,0,0,0,85.0,0,0,0
23,0,0,0,105.0,1,0,1
4,0,1,0,39.0,1,0,1
30,0,1,0,49.0,2,0,1
25,0,1,0,99.0,0,1,0
29,0,1,0,30.0,1,1,1
15,0,1,0,95.0,0,0,1
22,0,0,0,140.0,0,0,0
26,0,0,0,133.0,0,0,0
14,1,1,0,50.0,1,0,1
22,0,0,0,156.0,0,0,0
14,0,0,0,135.0,0,0,1
25,0,0,0,149.0,1,0,1
20,1,1,0,27.0,0,1,0
23,0,0,0,120.0,0,0,0
31,0,0,0,150.0,0,0,0
4,0,0,0,89.0,0,3,0
14,0,1,0,49.0,0,0,1
27,0,0,0,350.0,0,0,1
27,0,0,0,90.0,1,0,1
27,0,0,0,100.0,0,0,0
25,0,0,0,50.0,2,0,1
15,0,0,0,70.0,1,0,1
12,1,0,0,115.0,0,1,0
25,0,0,0,149.0,0,0,0
15,0,0,0,85.0,0,0,0
23,0,0,0,87.0,2,0,1
27,0,0,0,115.0,0,1,0
23,0,0,0,120.0,0,0,0
15,0,1,0,39.0,0,0,1
24,0,0,0,151.0,0,0,0
23,0,0,0,119.0,0,0,0
29,7,0,0,130.0,0,0,1
22,0,1,0,42.0,0,0,1
21,3,1,0,35.0,0,0,1
13,0,0,0,50.0,1,0,1
26,0,0,0,100.0,1,0,1
25,0,0,0,85.0,0,0,0
25,0,0,0,275.0,0,2,0
27,0,0,0,140.0,0,0,0
28,0,0,0,140.0,0,0,0
14,0,1,0,65.0,1,0,1
22,0,0,0,130.0,1,0,1
8,0,0,0,75.0,1,0,1
14,0,0,0,80.0,0,0,0
16,3,1,0,25.0,0,0,1
26,0,1,0,55.0,0,3,0
29,0,0,0,89.0,0,0,0
15,0,0,0,240.0,0,1,1
25,0,0,0,130.0,1,0,1
25,1,1,0,99.0,2,1,1
27,0,1,0,80.0,0,0,1
21,0,0,0,115.0,0,0,0
21,0,0,0,75.0,1,0,1
23,0,0,0,120.0,1,3,0
29,0,0,0,70.0,1,0,1
30,1,0,0,275.0,0,0,1
15,1,0,0,204.0,0,0,1
28,0,0,0,96.0,0,0,0
15,0,0,0,58.0,0,0,0
28,0,0,0,80.0,0,0,0
29,0,0,0,150.0,0,3,0
15,0,0,0,95.0,0,0,0
14,0,0,0,90.0,0,0,0
29,0,1,0,35.0,1,0,1
27,1,0,0,145.0,0,1,0
15,0,0,0,80.0,0,0,0
25,0,0,0,275.0,0,1,1
23,0,0,0,120.0,1,1,0
28,0,1,0,50.0,0,3,0
25,0,1,0,135.0,2,0,1
28,0,1,0,55.0,2,0,1
27,0,0,0,99.0,1,1,0
29,1,0,0,91.0,0,0,0
15,0,1,0,40.0,1,0,1
14,1,1,0,49.0,2,0,1
25,0,0,0,90.0,0,1,0
25,0,0,0,215.0,0,0,1
26,0,0,0,100.0,1,1,0
23,0,0,0,249.0,0,1,0
17,9,0,0,90.0,0,0,1
15,0,1,1,50.0,0,1,0
23,1,0,0,349.0,0,1,1
15,0,0,0,75.0,0,0,0
25,0,0,1,125.0,0,0,0
29,1,0,0,110.0,2,3,0
15,0,1,0,34.0,0,1,1
26,0,0,0,110.0,1,1,0
23,0,1,0,90.0,0,0,1
27,0,1,0,60.0,1,1,1
14,1,0,0,115.0,0,1,0
25,0,0,0,139.0,0,0,0
25,0,1,0,48.0,0,0,1
14,1,0,0,575.0,0,0,1
23,0,0,0,201.0,0,0,0
29,0,0,0,78.0,0,0,0
23,0,0,0,300.0,0,0,1
29,0,1,0,39.0,0,0,1
27,0,1,0,27.0,0,0,1
23,0,0,0,75.0,0,0,0
4,5,0,0,72.0,0,0,1
25,0,0,0,100.0,0,1,0
26,1,1,0,45.0,0,0,1
18,1,0,0,69.0,2,0,1
26,0,0,0,84.0,2,0,1
28,0,1,0,90.0,0,0,1
25,0,0,0,200.0,0,0,0
22,1,1,0,50.0,0,0,1
22,1,0,0,249.0,0,0,1
15,0,1,0,155.0,0,0,1
23,0,1,0,100.0,0,1,0
25,0,0,0,119.0,0,0,0
23,0,0,0,65.0,0,3,0
25,0,1,0,119.0,0,1,0
1,0,1,2,49.0,1,0,0
15,0,1,0,80.0,1,2,0
28,0,1,0,59.0,0,0,1
15,0,0,0,85.0,1,0,1
31,1,1,2,22.0,1,1,0
28,0,1,0,35.0,1,0,1
25,0,0,0,195.0,0,0,0
28,0,0,0,140.0,0,0,0
3,1,0,0,490.0,0,1,1
28,1,0,0,95.0,0,0,0
31,1,0,0,75.0,0,1,0
15,1,1,0,49.0,0,0,1
27,0,0,0,150.0,1,0,1
26,0,0,0,50.0,0,0,0
26,0,1,0,36.0,0,3,0
11,0,0,0,90.0,0,0,1
15,0,0,0,99.0,0,1,0
28,0,0,0,119.0,0,0,0
12,1,1,0,22.0,0,0,1
14,0,0,0,90.0,1,0,1
15,0,0,0,114.0,2,0,1
14,0,0,0,80.0,2,1,1
28,0,0,0,120.0,0,0,0
14,0,0,0,54.0,0,0,1
25,0,1,0,115.0,2,3,0
28,0,1,0,75.0,1,0,1
8,0,1,0,36.0,1,0,1
23,0,0,0,82.0,0,2,0
29,7,1,0,60.0,1,0,1
11,1,2,0,15.0,0,3,0
21,0,0,0,160.0,0,1,0
4,0,0,0,60.0,0,0,1
22,0,0,0,60.0,0,1,0
14,1,0,0,140.0,0,3,0
18,1,1,0,21.0,1,0,1
22,0,0,0,158.0,0,0,0
23,0,0,0,67.0,0,1,0
8,0,1,0,42.0,1,0,1
24,0,0,0,169.0,0,0,0
19,1,1,0,48.0,0,1,0
25,0,0,0,139.0,0,1,0
27,0,1,0,50.0,0,0,1
31,0,0,0,89.0,0,0,0
22,0,0,0,120.0,0,0,0
27,0,0,0,140.0,1,0,1
27,0,0,0,68.0,0,1,0
25,0,0,0,350.0,0,0,1
26,0,1,0,50.0,1,0,1
25,0,0,0,159.0,0,1,0
3,0,1,0,53.0,1,1,1
29,0,0,0,90.0,0,2,0
14,1,1,0,45.0,0,0,1
25,0,0,0,165.0,0,0,0
23,0,0,0,100.0,0,0,0
16,7,0,0,75.0,0,0,1
25,0,0,0,165.0,0,0,0
23,0,0,0,97.0,0,1,0
15,0,0,0,100.0,1,0,1
25,0,0,0,300.0,0,0,1
